,names,tomatometer,number_of_reviews,movie_info,audience_score,audience_count,critics_count
27,"
            Inside Out (2015)", 98%,379,"2015, Animation/Comedy, 1h 35m",89,"100,000+ Ratings",379 Reviews
28,"
            A Quiet Place (2018)", 96%,387,"2018, Horror/Mystery & thriller, 1h 30m",83,"10,000+ Ratings",387 Reviews
29,"
            Eighth Grade (2018)", 99%,318,"2018, Comedy/Drama, 1h 33m",82,"5,000+ Ratings",318 Reviews
30,"
            Rebecca (1940)", 100%,95,"1940, Mystery & thriller, 2h 10m",92,"25,000+ Ratings",95 Reviews
31,"
            His Girl Friday (1940)", 99%,100,"1940, Comedy, 1h 32m",90,"10,000+ Ratings",100 Reviews
32,"
            Booksmart (2019)", 96%,377,"2019, Comedy/Lgbtq+, 1h 42m",77,"2,500+ Verified Ratings",377 Reviews
33,"
            Logan (2017)", 94%,423,"2017, Adventure/Action, 2h 17m",90,"50,000+ Ratings",423 Reviews
34,"
            Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2020)", 98%,324,"2019, History/Romance, 2h 1m",92,250+ Verified Ratings,324 Reviews
35,"
            Coco (2017)", 97%,353,"2017, Comedy/Kids & family, 1h 49m",94,"25,000+ Ratings",353 Reviews
36,"
            Dunkirk (2017)", 92%,461,"2017, War/History, 1h 47m",81,"50,000+ Ratings",461 Reviews
37,"
            A Night at the Opera (1935)", 97%,70,"1935, Comedy, 1h 33m",91,"10,000+ Ratings",70 Reviews
38,"
            Star Wars: The Last Jedi (2017)", 91%,482,"2017, Fantasy/Adventure, 2h 32m",42,"100,000+ Ratings",482 Reviews
39,"
            The Shape of Water (2017)", 92%,459,"2017, Romance/Fantasy, 2h 3m",72,"25,000+ Ratings",459 Reviews
40,"
            Thor: Ragnarok (2017)", 93%,437,"2017, Comedy/Action, 2h 10m",87,"50,000+ Ratings",437 Reviews
41,"
            Spotlight (2015)", 97%,376,"2015, Drama, 2h 8m",93,"50,000+ Ratings",376 Reviews
42,"
            The Farewell (2019)", 97%,345,"2019, Comedy/Drama, 1h 40m",87,"1,000+ Verified Ratings",345 Reviews
43,"
            Selma (2014)", 99%,313,"2014, History/Drama, 2h 8m",86,"50,000+ Ratings",313 Reviews
44,"
            The Third Man (1949)", 99%,86,"1949, Mystery & thriller, 1h 44m",93,"50,000+ Ratings",86 Reviews
45,"
            Rear Window (1954)", 98%,122,"1954, Mystery & thriller, 1h 52m",95,"100,000+ Ratings",122 Reviews
46,"
            E.T. The Extra-Terrestrial (1982)", 99%,136,"1982, Kids & family/Sci-fi, 1h 55m",72,"250,000+ Ratings",136 Reviews
47,"
            Seven Samurai (Shichinin no Samurai) (1956)", 100%,88,"1954, Action, 3h 28m",97,"50,000+ Ratings",88 Reviews
48,"
            La Grande illusion (Grand Illusion) (1938)", 97%,68,"1937, Drama/War, 1h 57m",92,"10,000+ Ratings",68 Reviews
49,"
            Arrival (2016)", 94%,435,"2016, Drama/Mystery & thriller, 1h 56m",82,"50,000+ Ratings",435 Reviews
50,"
            Singin' in the Rain (1952)", 100%,67,"1952, Musical/Comedy, 1h 42m",95,"100,000+ Ratings",67 Reviews
51,"
            The Favourite (2018)", 93%,422,"2018, Comedy/Drama, 2h 0m",69,"5,000+ Ratings",422 Reviews
52,"
            Double Indemnity (1944)", 97%,92,"1944, Crime/Drama, 1h 46m",95,"25,000+ Ratings",92 Reviews
53,"
            All Quiet on the Western Front (1930)", 98%,81,"1930, War, 1h 45m",89,"10,000+ Ratings",81 Reviews
54,"
            Snow White and the Seven Dwarfs (1937)", 98%,54,"1937, Animation/Kids & family, 1h 20m",78,"250,000+ Ratings",54 Reviews
55,"
            Marriage Story (2019)", 94%,392,"2019, Comedy/Drama, 2h 16m",85,100+ Verified Ratings,392 Reviews
56,"
            An American in Paris (1951)", 96%,94,"1951, Romance/Musical, 1h 53m",79,"25,000+ Ratings",94 Reviews
57,"
            The Big Sick (2017)", 98%,304,"2017, Romance/Comedy, 2h 0m",88,"25,000+ Ratings",304 Reviews
58,"
            The Kid (1921)", 100%,49,"1921, Comedy/Drama, 1h 0m",95,"10,000+ Ratings",49 Reviews
59,"
            Star Wars: Episode VII - The Force Awakens (2015)", 93%,445,"2015, Fantasy/Adventure, 2h 16m",85,"100,000+ Ratings",445 Reviews
60,"
            Metropolis (1927)", 97%,135,"1927, Drama/Sci-fi, 2h 3m",92,"50,000+ Ratings",135 Reviews
61,"
            On the Waterfront (1954)", 99%,105,"1954, Drama, 1h 48m",95,"50,000+ Ratings",105 Reviews
62,"
            Gravity (2013)", 96%,357,"2013, Drama/Mystery & thriller, 1h 31m",80,"250,000+ Ratings",357 Reviews
63,"
            The Best Years of Our Lives (1946)", 98%,91,"1946, Drama, 2h 52m",93,"10,000+ Ratings",91 Reviews
64,"
            Boyhood (2014)", 97%,327,"2014, Drama, 2h 45m",80,"50,000+ Ratings",327 Reviews
65,"
            Leave No Trace (2018)", 100%,247,"2018, Drama, 1h 48m",80,"2,500+ Ratings",247 Reviews
66,"
            The Maltese Falcon (1941)", 100%,64,"1941, Crime/Drama, 1h 40m",91,"50,000+ Ratings",64 Reviews
67,"
            12 Years a Slave (2013)", 95%,374,"2013, Biography/Drama, 2h 14m",90,"100,000+ Ratings",374 Reviews
68,"
            Once Upon a Time In Hollywood (2019)", 85%,571,"2019, Comedy/Drama, 2h 39m",70,"25,000+ Verified Ratings",571 Reviews
69,"
            The Invisible Man (2020)", 92%,412,"2020, Mystery & thriller/Horror, 2h 4m",88,"10,000+ Verified Ratings",412 Reviews
70,"
            Argo (2012)", 96%,360,"2012, History/Mystery & thriller, 2h 0m",90,"100,000+ Ratings",360 Reviews
71,"
            Manchester by the Sea (2016)", 96%,353,"2016, Drama, 2h 17m",78,"50,000+ Ratings",353 Reviews
72,"
            The Adventures of Robin Hood (1938)", 100%,48,"1938, Adventure/Action, 1h 42m",89,"25,000+ Ratings",48 Reviews
73,"
            North by Northwest (1959)", 97%,109,"1959, Mystery & thriller, 2h 16m",94,"50,000+ Ratings",109 Reviews
74,"
            La La Land (2016)", 91%,466,"2016, Romance/Musical, 2h 8m",81,"50,000+ Ratings",466 Reviews
75,"
            Laura (1944)", 100%,65,"1944, Mystery & thriller, 1h 28m",91,"10,000+ Ratings",65 Reviews
76,"
            Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)", 97%,68,"1922, Horror/Fantasy, 1h 5m",87,"25,000+ Ratings",68 Reviews
77,"
            Incredibles 2 (2018)", 93%,387,"2018, Comedy/Kids & family, 1h 58m",84,"10,000+ Ratings",387 Reviews
78,"
            Spider-Man: Far From Home (2019)", 90%,452,"2019, Comedy/Adventure, 2h 9m",95,"50,000+ Verified Ratings",452 Reviews
79,"
            Zootopia (2016)", 98%,298,"2016, Animation/Comedy, 1h 48m",92,"100,000+ Ratings",298 Reviews
80,"
            Alien (1979)", 98%,127,"1979, Horror/Sci-fi, 1h 57m",94,"250,000+ Ratings",127 Reviews
81,"
            King Kong (1933)", 98%,66,"1933, Fantasy/Adventure, 1h 40m",86,"50,000+ Ratings",66 Reviews
82,"
            Call Me by Your Name (2018)", 94%,363,"2017, Romance/Drama, 2h 12m",86,"10,000+ Ratings",363 Reviews
83,"
            Psycho (1960)", 96%,105,"1960, Horror/Mystery & thriller, 1h 49m",95,"100,000+ Ratings",105 Reviews
84,"
            L.A. Confidential (1997)", 99%,161,"1997, Crime/Drama, 2h 16m",94,"100,000+ Ratings",161 Reviews
85,"
            Shadow of a Doubt (1943)", 100%,48,"1943, Crime/Drama, 1h 48m",89,"10,000+ Ratings",48 Reviews
86,"
            1917 (2020)", 89%,461,"2019, War/History, 1h 59m",88,"25,000+ Verified Ratings",461 Reviews
87,"
            War for the Planet of the Apes (2017)", 94%,360,"2017, Adventure/Action, 2h 22m",84,"50,000+ Ratings",360 Reviews
88,"
            The Florida Project (2017)", 96%,315,"2017, Drama, 1h 55m",80,"10,000+ Ratings",315 Reviews
89,"
            Paddington 2 (2018)", 99%,247,"2017, Comedy/Adventure, 1h 43m",87,"5,000+ Ratings",247 Reviews
90,"
            Widows (2018)", 91%,420,"2018, Crime/Drama, 2h 8m",61,"5,000+ Ratings",420 Reviews
91,"
            A Hard Day's Night (1964)", 98%,111,"1964, Musical/Comedy, 1h 23m",89,"50,000+ Ratings",111 Reviews
92,"
            The Battle of Algiers (La Battaglia di Algeri) (1967)", 99%,89,"1966, War/History, 2h 5m",95,"10,000+ Ratings",89 Reviews
93,"
            The Godfather, Part II (1974)", 96%,114,"1974, Crime/Drama, 3h 20m",97,"250,000+ Ratings",114 Reviews
94,"
            Baby Driver (2017)", 92%,395,"2017, Mystery & thriller/Action, 1h 53m",86,"50,000+ Ratings",395 Reviews
95,"
            Never Rarely Sometimes Always (2020)", 99%,235,"2020, Drama, 1h 41m",52,500+ Ratings,235 Reviews
96,"
            Spider-Man: Homecoming (2017)", 92%,394,"2017, Action/Adventure, 2h 13m",87,"100,000+ Ratings",394 Reviews
97,"
            The Bridge on the River Kwai (1957)", 96%,93,"1957, War/Drama, 2h 41m",93,"50,000+ Ratings",93 Reviews
98,"
            Pain and Glory (Dolor y gloria) (2019)", 96%,299,"2019, Drama, 1h 53m",91,250+ Verified Ratings,299 Reviews
99,"
            Top Hat (1935)", 100%,42,"1935, Romance/Musical, 1h 39m",90,"5,000+ Ratings",42 Reviews
